R0,rho,i0,n_sloppy,a_hi,a_lo,nll,rho_pass1,mean_count,drs_var,drs_geo,margin,margin_sd,margin_snr,drs_var_control,drs_geo_control,region,season,n_decades
1.15,62.058037993637726,4.98202902155519e-06,3,1,0,33.323791959525046,74.78489945577988,310.8333333333333,0.4756241472022197,0.006555275193928327,0.0018834083339420856,6.597134766136009e-05,28.548883730704986,0.05066992152111955,0.0012567194341795754,mi,2018-2019,1.0
1.15,12.186039949618772,1.8928449957904712e-05,3,1,0,31.614150927773117,18.713425344716896,231.5,0.475115597687857,0.00658301187076558,0.001653975870486882,0.0002502044407092971,6.610497662623714,0.052996586766159585,0.0013455845378540288,mi,2019-2020,1.0
1.15,2.74114290406869,2.2034120116718383e-05,3,1,0,27.767309611798684,4.7846097850588345,61.0,0.47162751053978286,0.006897397994844773,0.001602921607770503,0.0002938602082439409,5.454707928471474,0.06125839102375956,0.001629466637576095,mi,2020-2021,1.0
1.15,52.69594273763368,2.56145817871314e-05,3,1,0,42.50352255387751,69.59509399026024,1343.6666666666667,0.4763828122811052,0.00648526471386568,0.0015441016908936834,0.00033732899514389586,4.577435420975328,0.05094069428205153,0.0012816666741515426,mi,2021-2022,1.0
1.2094386875624163,116.99821245367247,7.6147068679866246e-06,3,1,0,43.34964367932753,116.99812793115632,1595.1666666666667,0.30835792433079556,0.002109154308053896,0.001470142761261093,0.0004495368502212659,3.2703498290239748,0.20245667534044956,0.038223170752762735,mi,2022-2023,1.0
1.15,58.01625639440278,2.9319025043916924e-05,3,1,0,43.40795590628251,119.38011137657917,1711.0,0.4763927413896097,0.006480214991111527,0.0014833813181713506,0.00038574800378667203,3.8454672574059416,0.051309939827030936,0.0012968373243782477,mi,2023-2024,1.0
1.15,98.28024751567946,1.9116738607998298e-05,3,1,0,43.98967623281079,138.24402432313605,1894.0,0.47645732926070306,0.006478931938833708,0.0016508862025061883,0.0002518806336669055,6.554240310072308,0.05037593671292817,0.0012587520694054561,mi,2024-2025,1.0
1.15,1332.3650440485483,8.586769813081724e-06,3,1,0,54.93477629574892,1848.8055012913094,11435.166666666666,0.4767214289011243,0.006468027430527277,0.001824041136288849,0.00011332176412497875,16.096123726746573,0.04891539872109331,0.001202141428917904,nat,2015-2016,1.0
1.15,300.616124627534,4.119001483269866e-05,3,1,0,55.29768582623985,594.6259838119596,12423.166666666666,0.47647287897573687,0.006464459448904036,0.0012890493590794767,0.000540476403782161,2.3850243045930046,0.052290880211623474,0.00133783080118552,nat,2016-2017,1.0
1.15,2986.3917217911353,5.1063691999146445e-06,3,1,0,56.4698404708336,3310.2983162586943,15397.166666666666,0.4767631220186173,0.0064679337671703354,0.0018813610126863748,6.743412997208432e-05,27.899240539845344,0.048520805137169894,0.0011862235732464708,nat,2017-2018,1.0
