cell_id,W,phi,rho_level,ppf_flow,ppf_boxw,ess_frac,frac_in_box
126,6,2.0,0.26207413942088964,0.095,0.095,1.0,1.0
127,10,2.0,0.26207413942088964,0.226,0.226,1.0,1.0
128,6,10.0,0.26207413942088964,0.4885,0.4885,1.0,1.0
129,10,10.0,0.26207413942088964,0.2115,0.2115,1.0,1.0
130,6,50.0,0.26207413942088964,0.541,0.541,1.0,1.0
131,10,50.0,0.26207413942088964,0.1985,0.1985,1.0,1.0
132,6,2.0,0.26207413942088964,0.3495,0.3495,1.0,1.0
133,10,2.0,0.26207413942088964,0.2095,0.2095,1.0,1.0
134,6,10.0,0.26207413942088964,0.4475,0.4475,1.0,1.0
135,10,10.0,0.26207413942088964,0.178,0.178,1.0,1.0
136,6,50.0,0.26207413942088964,0.3455,0.3455,1.0,1.0
137,10,50.0,0.26207413942088964,0.194,0.194,1.0,1.0
138,6,2.0,0.26207413942088964,0.168,0.168,1.0,1.0
139,10,2.0,0.26207413942088964,0.248,0.248,1.0,1.0
140,6,10.0,0.26207413942088964,0.2385,0.2385,1.0,1.0
141,10,10.0,0.26207413942088964,0.076,0.076,1.0,1.0
142,6,50.0,0.26207413942088964,0.1155,0.1155,1.0,1.0
143,10,50.0,0.26207413942088964,0.0195,0.0195,1.0,1.0
144,6,2.0,0.6,0.1385,0.1385,1.0,1.0
145,10,2.0,0.6,0.0625,0.0625,1.0,1.0
146,6,10.0,0.6,0.3575,0.3575,1.0,1.0
147,10,10.0,0.6,0.2315,0.2315,1.0,1.0
148,6,50.0,0.6,0.356,0.356,1.0,1.0
149,10,50.0,0.6,0.2165,0.2165,1.0,1.0
150,6,2.0,0.6,0.505,0.505,1.0,1.0
151,10,2.0,0.6,0.2395,0.2395,1.0,1.0
152,6,10.0,0.6,0.1265,0.1265,1.0,1.0
153,10,10.0,0.6,0.524,0.524,1.0,1.0
154,6,50.0,0.6,0.0975,0.0975,1.0,1.0
155,10,50.0,0.6,0.294,0.294,1.0,1.0
156,6,2.0,0.6,0.295,0.295,1.0,1.0
157,10,2.0,0.6,0.1215,0.1215,1.0,1.0
158,6,10.0,0.6,0.3595,0.3595,1.0,1.0
159,10,10.0,0.6,0.173,0.173,1.0,1.0
160,6,50.0,0.6,0.339,0.339,1.0,1.0
161,10,50.0,0.6,0.117,0.117,1.0,1.0
162,6,2.0,0.6,0.0865,0.0865,1.0,1.0
163,10,2.0,0.6,0.1725,0.1725,1.0,1.0
164,6,10.0,0.6,0.425,0.425,1.0,1.0
165,10,10.0,0.6,0.2565,0.2565,1.0,1.0
166,6,50.0,0.6,0.309,0.309,1.0,1.0
167,10,50.0,0.6,0.214,0.214,1.0,1.0
168,6,2.0,0.6,0.494,0.494,1.0,1.0
169,10,2.0,0.6,0.461,0.461,1.0,1.0
170,6,10.0,0.6,0.3675,0.3675,1.0,1.0
171,10,10.0,0.6,0.216,0.216,1.0,1.0
172,6,50.0,0.6,0.3705,0.3705,1.0,1.0
173,10,50.0,0.6,0.154,0.154,1.0,1.0
